,은행,구분,1~2등급,3~4등급,5~6등급,7~8등급,9~10등급,평균금리,참고사항,가중평균수익
0,BNK경남은행,대출금리,3.52,3.50,3.47,3.59,0,3.51,,3.50276438057674
1,BNK부산은행,대출금리,4.23,4.36,4.39,4.59,0,4.26,,4.303577001497513
2,DGB대구은행,대출금리,4.07,4.12,4.15,4.23,4.22,4.12,,4.108993582911269
3,IBK기업은행,대출금리,3.94,3.96,3.91,3.95,0,3.94,,3.9346671340800015
4,KB국민은행,대출금리,3.91,4.10,4.15,4.31,0,3.98,,4.017777566981208
5,NH농협은행,대출금리,4.30,4.32,4.24,0,0,4.3,,4.285525707216827
6,SH수협은행,대출금리,3.53,3.74,4.11,3.40,0,3.77,,3.7347073212116895
7,광주은행,대출금리,4.28,4.17,4.07,4.01,5.02,4.29,,4.231624415941848
8,스탠다드차타드은행,대출금리,3.89,3.87,3.93,0,0,3.87,,3.898508883071116
9,신한은행,대출금리,3.90,3.96,4.13,4.26,4.03,3.92,,3.984416814475455
10,우리은행,대출금리,4.27,4.33,4.45,4.74,5.59,4.33,,4.392811356694825
11,전북은행,대출금리,4.09,4.25,4.19,4.16,4.41,4.15,,4.158657148988344
12,제주은행,대출금리,4.05,3.89,4.03,4.01,4.66,3.97,,4.044247902173347
13,케이뱅크,대출금리,3.52,3.65,3.86,4.67,0,3.59,,3.656433304256442
14,하나은행,대출금리,3.86,3.98,4.06,0,0,3.88,,3.94018571523854
15,한국씨티은행,대출금리,3.54,0,0,0,0,3.54,,3.54
